code,country,year,start,event_name,crisis_category,hazard_type,displaced
KOR,"Korea, Rep.",2022,2022-02-28,Korea: Wildfire - South and North Gyeongsang - 28/02/2022,Weather related,Wildfire,220
AFG,Afghanistan,2022,2022-01-05,Afghanistan: Storm - Kunar (3 Districts) - 05/01/2022,Weather related,Storm,80
AFG,Afghanistan,2022,2022-01-08,Afghanistan: Storm - Laghman (Mehtarlam) - 08/01/2022,Weather related,Storm,15
IDN,Indonesia,2022,2022-02-06,Indonesia: Tornado - West Java (Bogor) - 06/02/2022,Weather related,Storm,54
IDN,Indonesia,2022,2022-02-25,Indonesia: Earthquake - West Sumatra  (Pasaman and West Pasaman) - 25/02/2022,Geophysical,Earthquake,19000
AFG,Afghanistan,2022,2022-01-06,Afghanistan: Flood - Kandahar (Maywand) - 06/01/2022,Weather related,Flood,59
AFG,Afghanistan,2022,2022-01-17,Afghanistan: Flood - Hirat (5 Districts) - 17/01/2022,Weather related,Flood,2100
NPL,Nepal,2022,2022-03-21,Nepal: Storm - Gandaki (Shyanja/Chapakot) -  21/03/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-03-03,Indonesia: Flood - Central Java (Klaten) - 03/03/2022,Weather related,Flood,51
VNM,Vietnam,2022,2022-03-06,Viet Nam: Thunderstorm - Hoa Binh (Kim Boi and Hoa Binh city) - 06/03/2022,Weather related,Storm,5
IDN,Indonesia,2022,2022-03-07,Indonesia: Tornado - South Sumatra (Musi Rawas) - 07/03/2022,Weather related,Storm,31
MYS,Malaysia,2022,2022-03-09,Malaysia: Flood - Malacca - 09/03/2022,Weather related,Flood,43
IDN,Indonesia,2022,2022-02-16,Indonesia: Landslide - West Java (Bogor) - 16/02/2022,Weather related,Mass Movement,12
CHN,China,2022,2022-02-15,China: Cold wave - Southern China - 15/02/2022,Weather related,Extreme Temperature,8400
KOR,"Korea, Rep.",2022,2022-03-04,"Korea: Wildfire - Gyeongsangbuk-do (Uljin) and Gangwon-do (Samcheok, Gangneung and Donghae) - 04/03/2022",Weather related,Wildfire,14000
IDN,Indonesia,2022,2022-03-08,Indonesia: Flood - East Java (Pasuran) - 08/03/2022,Weather related,Flood,15
IDN,Indonesia,2022,2022-03-10,Indonesia: Volcanic eruption of Merapi - Central Java (Klaten) - 10/03/2022,Geophysical,Volcanic activity,50
MYS,Malaysia,2022,2022-05-04,Malaysia: Flood - Johor - 04/05/2022,Weather related,Flood,180
NPL,Nepal,2022,2022-04-17,"Nepal: Wildfire - Province No. 1 / Kosi (Terhathum, Bhojpur) - 17/04/2022",Weather related,Wildfire,17
MYS,Malaysia,2022,2022-03-15,Malaysia: Flood - Kedah - 15/03/2022,Weather related,Flood,8
IDN,Indonesia,2022,2022-03-15,Indonesia: Riverine flood - Central Java (Purworejo) - 15/03/2022,Weather related,Flood,6100
IDN,Indonesia,2022,2022-03-18,Indonesia: Flood - East Kalimantan (East Kutai) - 18/03/2022,Weather related,Flood,1000
IDN,Indonesia,2022,2022-05-20,Indonesia: Landslide - Special Region of Yogyakarta (Kulon Progo) - 20/05/2022,Weather related,Mass Movement,12
IDN,Indonesia,2022,2022-01-13,Indonesia: Flood - Central Sulawesi (Poso) - 13/01/2022,Weather related,Flood,31
NPL,Nepal,2022,2022-04-04,Nepal: Wildfire - Province No. 1 / Kosi (Terhathum/Aathrai) - 04/04/2022,Weather related,Wildfire,4
IDN,Indonesia,2022,2022-03-14,Indonesia: Riverine flood - Central Java (Grobogan) - 15/03/2022,Weather related,Flood,2
TUR,Türkiye,2022,2022-02-26,Türkiye: Flood - Zonguldak (Kilimli) - 26/02/2022,Weather related,Flood,13
MDG,Madagascar,2022,2022-02-16,Madagascar: Tropical Cyclone Emnati - 16/02/2022,Weather related,Storm,75000
MDG,Madagascar,2022,2022-02-14,Madagascar: Tropical Storm Dumako - 16/02/2022,Weather related,Storm,4300
MDG,Madagascar,2022,2022-01-27,Madagascar: Tropical Cyclone Batsirai - 27/01/2022,Weather related,Storm,57000
IRQ,Iraq,2022,2022-01-01,Iraq: Drought - 8 Governorates - 01/01/2022,Weather related,Drought,51000
PAK,Pakistan,2022,2022-03-19,Pakistan: Storm - Khyber Pakhtunkhwa (Malakand/Buner) - 19/03/2022,Weather related,Storm,7
